keyword,count
SLCFs,152
climate change,91
methane,83
aerosols,72
Europe,72
AR5,72
air quality,70
China,69
ozone,64
CMIP6,58
GSAT,57
North America,54
radiative forcing,42
SLCF emissions,40
medium confidence,39
Eastern Asia,38
ERF,38
surface ozone,36
tropospheric ozone,33
climate change mitigation,32
Asia,32
Africa,29
Southern Asia,28
India,28
HFCs,27
air pollution control,26
agriculture,25
data sources,24
UNEP,24
uncertainty,23
National Academy of Sciences,23
climate,22
CMIP6 models,22
NOx,21
CO2 emissions,21
human health,21
SLCF,20
methane emissions,20
CMIP5,20
black carbon,18
SSPs,18
waste management,18
global models,18
sulphate aerosols,18
Geoscientific Model Development,18
air pollutants,17
USA,17
methane lifetime,17
Kigali Amendment,16
BVOC emissions,16
anthropogenic emissions,16
modelling,16
CCMs,16
air pollution,16
United Kingdom,15
chemistry,15
climate system,15
Northern Hemisphere,15
SO2 emissions,15
NOx emissions,15
precipitation,14
ESMs,14
atmospheric chemistry,14
Middle East,14
United States,13
climate response,13
NMVOCs,13
AerChemMIP,13
United States of America,12
Arctic,12
carbonaceous aerosols,12
SSP,11
industry,11
Latin America,11
methane mitigation,11
Air Quality,11
nitrate aerosols,11
temperature,11
aviation,11
South East Asia,11
BC,11
GSAT response,10
biogeochemical feedbacks,10
Montreal Protocol,10
surface temperature,10
ammonia,10
global,10
land use,10
satellite observations,10
ACCMIP,10
confidence,10
LLGHGs,10
Climate Change,10
WMO,10
particulate matter,9
carbon monoxide,9
temperature response,9
carbon cycle,9
global warming,9
atmospheric composition,9
greenhouse gases,9
stratospheric ozone,9
BVOCs,9
chemical composition,9
observations,9
Southern Hemisphere,9
Air quality,9
SDGs,9
SSP scenarios,9
Anthropocene,9
Total Environment,9
Cambridge University Press,8
open biomass burning,8
Climate Model Intercomparison Project,8
Earth system models,8
DMS,8
uncertainties,8
tropospheric OH,8
water vapour,8
spatial patterns,8
East Asia,8
Earth System Science Data,8
Working Group I,7
emissions,7
hydrofluorocarbons,7
organic aerosols,7
climate feedback,7
B,7
human activities,7
Community Emissions Data System,7
NH3,7
spatial distribution,7
isoprene,7
biomass burning,7
tropospheric ozone burden,7
Time evolution,7
2,7
Satellite Observations,7
Atmospheric Measurement Techniques,7
Intergovernmental Panel on Climate Change,6
aerosol ERF,6
thermal inertia,6
effective radiative forcing,6
feedback parameter,6
lightning NOx,6
SSP3,6
Sustainable Development Goals,6
LCFs,6
ecosystems,6
lightning NOx emissions,6
climate sensitivity,6
CMIP5 models,6
South America,6
climate models,6
CMIP6 ESMs,6
nitric acid,6
nitrogen deposition,6
AeroCom,6
AOD,6
sulphate,6
ERFs,6
variability threshold,6
clouds,6
Climate Response,6
climate policy,6
carbon dioxide,6
Atmospheric Chemistry,6
Global Environmental Change,6
Global Change Biology,6
Brazil,5
Australia,5
Canada,5
halogenated compounds,5
global surface air temperature,5
Representative Concentration Pathways,5
anthropogenic aerosols,5
ozone precursors,5
World Health Organization,5
WHO,5
climate effects,5
radiative effects,5
SLCF mitigation,5
anthropogenic activities,5
Japan,5
fossil fuel use,5
economic growth,5
ocean acidification,5
biomass burning emissions,5
chemical mechanisms,5
observational constraints,5
ozone precursor emissions,5
ammonium nitrate,5
ammonia emissions,5
Aerosols,5
optical properties,5
stratosphere,5
wildfires,5
impulse response function,5
CO2,5
aerosol,5
cooling effect,5
meteorology,5
heatwaves,5
S,5
shipping,5
fossil fuels,5
United Nations Environment Programme,5
HFC emissions,5
urbanization,5
Earth Systems,5
Physical Science Basis,5
Assessment Report,5
Earth System Dynamics,5
geoengineering,5
Kenya,5
ols,4
mineral dust,4
nitrogen oxides,4
sulphur dioxide,4
atmospheric abundances,4
ozone production,4
terrestrial vegetation,4
biogeochemical cycles,4
global surface ozone,4
fossil fuel combustion,4
land transportation,4
biofuel,4
residential sector,4
air pollutant emissions,4
global air pollution,4
Paris Agreement,4
air pollution controls,4
lightning,4
emissions sources,4
CMIP6 emissions,4
CEDS,4
international shipping,4
CO emissions,4
BC emissions,4
emissions estimates,4
NH3 emissions,4
Earth system,4
CMIP6 model ensemble,4
monoterpenes,4
dust emissions,4
sea salt,4
wind speed,4
eutrophication,4
burned area,4
emissions factors,4
budget,4
chemical compounds,4
central estimate,4
Tropospheric Ozone,4
upper troposphere,4
Coupled Model Intercomparison Project,4
CMIP6 ensemble,4
Western Europe,4
dichloromethane,4
urban areas,4
solar radiation,4
interannual variability,4
sea ice,4
Uncertainty,4
robust signal,4
diagonal lines,4
AerChemMIP models,4
equilibrium climate sensitivity,4
Nr deposition,4
stratospheric ozone changes,4
direct radiative effect,4
AerChemMIP ensemble,4
ozone concentrations,4
fine particulate matter,4
regional climate change,4
GHG emissions,4
premature mortality,4
temperature responses,4
mitigation potential,4
climate policies,4
costs,4
ozone pollution,4
sustainable development,4
Royal Society,4
Community Earth System Model,4
World Meteorological Organization,4
Ozone,4
Shared Socioeconomic Pathways,4
Arctic black carbon,4
Climate,3
sea spray,3
volatile organic compounds,3
chemical adjustments,3
climate effect,3
regional variations,3
positive trends,3
medium agreement,3
Biogeochemical Cycles,3
aerosol changes,3
net aerosol ERF,3
high confidence,3
land carbon sink,3
natural emissions,3
air pollution legislation,3
surface ozone pollution,3
air pollution mitigations,3
SLCF Mitigation,3
fossil fuel production,3
distribution,3
warming effect,3
ozone exposure,3
surface ozone concentrations,3
HFC,3
SLCF changes,3
non-methane ozone precursors,3
SSP1,3
Sustained methane mitigation,3
surface ozone levels,3
WHO guidelines,3
internal variability,3
net ERF,3
lifetime,3
vegetation,3
temporal evolution,3
cloud condensation nuclei,3
Carbonaceous Aerosols,3
feedbacks,3
hydrological cycle,3
Climate change,3
aerosol precursors,3
mitigation scenarios,3
secondary organic aerosols,3
dust,3
SLCF Emissions,3
GAINS model,3
anthropogenic SO2 emissions,3
satellite data,3
NMVOC emissions,3
emissions inventories,3
wood burning,3
Russia,3
SLCF species,3
parametrizations,3
SNOx,3
uncertainty range,3
monoterpene emissions,3
isoprene emissions,3
bioenergy,3
particle size,3
climate warming,3
agricultural waste burning,3
fire dynamics,3
deposition,3
atmospheric distribution,3
time evolution,3
simulation,3
quantum chemical theory,3
structural uncertainty,3
emulators,3
emissions metrics,3
soil uptake,3
TD estimates,3
AR,3
AerChemMIP ESMs,3
ozone forcing,3
observational estimates,3
global CCMs,3
Tropospheric Ozone Assessment Report,3
in situ observations,3
global stratospheric ozone column,3
Satellite observations,3
power sector,3
global CO burden,3
OCs,3
formaldehyde,3
sulphuric acid,3
aerosol burden,3
NH34,3
regional models,3
North China Plain,3
climate forcing,3
anthrop,3
chemical reactions,3
radiative effect,3
aerosol pH,3
brown carbon,3
ageing,3
positive forcing,3
Germany,3
SOA formation,3
isoprene oxidation,3
CTMs,3
climate variability,3
atmospheric inversions,3
global mean OH,3
aerosol forcing,3
negative forcing,3
overlay,3
Interactive Atlas,3
attribution,3
radiative efficiencies,3
ERFaci,3
contrails,3
atmospheric oxidation,3
stratospheric water vapour,3
negative ERF,3
GSAT change,3
global precipitation,3
Arctic warming,3
circulation patterns,3
photosynthesis,3
indirect CO2 forcing,3
feedback,3
positive feedback,3
central value,3
meteorological conditions,3
cirrus cloud thinning,3
confidence level,3
Paris Agreement goals,3
residential biofuel,3
Agriculture,3
residential fossil fuel,3
quality,3
AGTP,3
energy combustion,3
Eurasia,3
regional emissions,3
CCAC,3
sensitivity analysis,3
health impacts,3
SSP5,3
WHO air quality guidelines,3
ECLIPSE,3
clean energy,3
climate change mitigation scenarios,3
transport sectors,3
non-methane SLCFs,3
emissions controls,3
aerosol reductions,3
Current Pollution Reports,3
IPCC Special Report,3
global greenhouse gas emission pathways,3
poverty,3
Ozone Depletion,3
Global Ozone,3
haze events,3
anthropogenic methane emissions,3
European Union,3
The,3
Ozone Monitoring Instrument,3
cirrus cloud seeding,3
biogenic emissions,3
reactive gases,3
IPCC,3
desertification,3
food security,3
black carbon emissions,3
Geophysical Research,3
Global Biogeochemical Cycles,3
The Lancet Planetary Health,3
Air Pollution,3
atmospheric methane,3
Interannual variability,3
American Meteorological Society,3
Ozone Layer,3
United Nations,3
Canadell,2
Global,2
observationally constrained inversion methods,2
anthropogenic CO emissions,2
surface cooling,2
Radiative forcings,2
non-methane volatile organic compounds,2
ecosystem productivity,2
Climate feedbacks,2
precursor emissions,2
low confidence,2
marine aerosols,2
air pollution management,2
continental areas,2
reduced aerosols,2
global temperature response,2
cooling effects,2
CO2 warming,2
global mean temperature response,2
cumulative emissions,2
warming,2
energy sector,2
agricultural emissions,2
2040,2
lower,2
