keyword,count
climate change,334
medium confidence,113
adaptation,101
global warming,82
Africa,66
food security,48
vulnerability,44
SRM,42
AR5,38
Europe,37
extreme weather events,36
Climate change,36
climate change adaptation,36
drought,34
climate hazards,33
ecosystems,32
governance,31
Asia,31
high confidence,29
SDGs,29
biodiversity,29
India,28
poverty,28
human systems,27
human mobility,26
key risks,25
China,25
agriculture,24
economic growth,23
mortality,23
developing countries,23
high risk,22
Climate Change,21
human health,21
extreme events,21
water scarcity,21
moderate risk,21
IPCC,21
coral reefs,21
climate risks,20
ecosystem services,20
armed conflict,19
heat stress,19
Australia,19
SAI,19
floods,18
flooding,18
South Africa,17
Cambridge University Press,17
water security,17
living standards,17
anthropogenic climate forcing,16
climate risk,16
infrastructure,16
SLR,16
North America,16
Key Risks,15
crop yields,15
migration,15
children,15
South America,15
climate variability,15
Bangladesh,15
exposure,14
South Asia,14
solar geoengineering,14
sea level rise,13
biodiversity hotspots,13
population,13
RFC,13
impact attribution,13
heatwaves,13
anthropogenic climate change,13
risk,13
modelling,13
Sustainable Development,13
sustainable development,12
food production,12
climate extremes,12
Syria,12
climate adaptation,12
morbidity,12
Ghana,12
solar radiation management,12
adaptation strategies,12
climate change mitigation,12
climate change impacts,11
tropical cyclones,11
low confidence,11
Water distribution,11
food insecurity,11
Ethiopia,11
World Bank,11
MISI,11
sustainable development goals,11
geoengineering,11
Intergovernmental Panel on Climate Change,10
terrestrial ecosystems,10
adaptation responses,10
coastal communities,10
health,10
land use,10
droughts,10
women,10
wildfires,10
USA,10
Central America,10
temperature,10
vulnerable populations,10
Nepal,10
carbon sequestration,10
Mitigation,10
crop production,10
RKR,10
Working Group II,9
Sustainable Development Goals,9
species,9
flood risk,9
water quality,9
financial resources,9
Representative Key Risks,9
critical infrastructure,9
waterborne diseases,9
SR15,9
ecosystem degradation,9
adaptive capacity,9
water management,9
weather sensitivity,9
international migration,9
water,9
ocean warming,9
fisheries,9
wildfire,9
Solar geoengineering,9
Springer International Publishing,9
malnutrition,8
Climate,8
maladaptation,8
financial constraints,8
climate system,8
RKRs,8
small islands,8
climate change risks,8
threatened systems,8
social cost of carbon,8
RFCs,8
resilience,8
river floods,8
marine ecosystems,8
precipitation,8
Middle East,8
UK,8
urban areas,8
natural systems,8
transformational adaptation,8
coastal erosion,8
risks,8
residual risks,8
land degradation,8
adaptation measures,8
uncertainty,8
deltas,8
global warming level,8
Food Security,8
Working Group I,8
conflict,8
Climate change adaptation,8
social cost,8
attribution,7
Extreme weather events,7
weather extremes,7
weather fluctuations,7
water availability,7
ocean ecosystems,7
confidence,7
peace,7
ocean acidification,7
RFC1,7
Paris Agreement,7
adaptation limits,7
AR6,7
climate attribution,7
coastal systems,7
rainfall,7
maize,7
Latin America,7
coastal flooding,7
population growth,7
Australasia,7
Mexico,7
climate impacts,7
livelihoods,7
Fifth Assessment Report,7
small island developing states,7
Global Warming,7
Sixth Assessment Report,6
Global South,6
adaptive actions,6
agricultural production,6
species extinction,6
soft limits,6
climate outcomes,6
climate,6
robustness,6
ecological systems,6
Vulnerability,6
socioeconomic development,6
urbanisation,6
managed systems,6
Coastal systems,6
Solomon Islands,6
wheat,6
rice,6
food prices,6
risk reduction,6
adaptation planning,6
internal migration,6
human capacity,6
cities,6
Pakistan,6
Philippines,6
Tanzania,6
Kenya,6
water resources,6
Arctic,6
residual risk,6
SIDS,6
SSPs,6
marine heatwaves,6
coral bleaching,6
WHO,6
desertification,6
salinity intrusion,6
Mekong Delta,6
Vietnam,6
United Nations,6
WGI AR6,6
southern Africa,6
high risks,6
climate change scenarios,6
West Africa,6
Antarctica,6
economic impacts,6
structural modelling,6
natural disasters,6
Sectoral,6
Mastrandrea,6
United States,6
Climate variability,5
adaptation response,5
conservation agriculture,5
aquatic species,5
aggregate economic output,5
income,5
expert elicitation,5
global warming levels,5
global temperatures,5
climate resilient development,5
extreme poverty,5
smallholder farmers,5
economic development,5
gender,5
risk management,5
anthropogenic forcing,5
climate models,5
high,5
Hurricane Harvey,5
Food system,5
Crop yields,5
Caribbean,5
malaria,5
Southern Europe,5
storms,5
natural ecosystems,5
Syrian civil war,5
Syrian uprising,5
GHG emissions,5
adaptive responses,5
limits,5
farmers,5
Adaptation,5
Maladaptation,5
health risks,5
Nigeria,5
forestry,5
Thailand,5
European Union,5
environmental change,5
assessed literature,5
GDP,5
climatic impact drivers,5
societal adaptation,5
tree mortality,5
Amazon Forest,5
risk severity,5
culture,5
ecological disruption,5
economic activity,5
Bank,5
human migration,5
critical infrastructures,5
marine cloud brightening,5
water cycle,5
corals,5
Great Barrier Reef,5
ember diagrams,5
heat extremes,5
SCC estimates,5
Intergovernmental Panel,5
Land Use Policy,5
climate engineering,5
Islam,5
National Bureau of Economic Research,5
shared socioeconomic pathways,5
International Monetary Fund,5
stratospheric aerosol geoengineering,5
human mortality,4
transformative adaptation,4
extreme heat,4
agroforestry,4
coastal protection,4
socioeconomic constraints,4
hard limits,4
Food security,4
sustainable cities,4
climatic hazards,4
global aggregate impacts,4
tipping points,4
RFC2,4
RFC4,4
RFC5,4
cultural heritage,4
Assessment Report,4
UNFCCC,4
warming levels,4
adverse consequences,4
IPCC Special Report,4
natural hazards,4
natural resources,4
education,4
rural areas,4
Biodiversity,4
Climate risks,4
livestock,4
impact,4
societal impacts,4
