keyword,General,Specific
aviation,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
GHG emissions,chapter_01_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_10_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_02_keywords
transport sector,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
biofuels,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
China,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_10_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,
shipping,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
CO2 emissions,chapter_01_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_10_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_02_keywords
electric vehicles,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
ammonia,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,chapter_10_keywords
Europe,chapter_01_keywords chapter_02_keywords chapter_03_keywords chapter_04_keywords chapter_05_keywords chapter_06_keywords chapter_07_keywords chapter_08_keywords chapter_09_keywords chapter_10_keywords chapter_11_keywords chapter_12_keywords chapter_13_keywords chapter_14_keywords chapter_15_keywords chapter_16_keywords chapter_17_keywords,
