keyword,count
Urban Systems,93
GHG emissions,70
,
China,35
,
,
,
urban emissions,26
urban infrastructure,23
spatial planning,22
,21
,
land use,21
SDGs,21
urban planning,20
IPCC,19
urban land expansion,18
urban mitigation,18
,
,
urban population,18
India,18
,
,
urban development,17
,
,
Africa,16
synergies,16
,
,
,
,
AR5,14
urban GHG emissions,14
Asia,14
CO 2 emissions,14
,
,
urban growth,13
,
Developed Countries,12
Europe,12
urban expansion,12
New York City,11
Latin America,11
,
,11
,
IEA,11
Middle East,10
carbon storage,10
,
supply chains,10
air quality,10
,10
,
global cities,10
World Bank,10
Shanghai,9
,
agriculture,9
,
,
International Energy Agency,9
,9
,
,
blue infrastructure,8
,
Biodiversity,8
,
,
,
,
mobility options,8
population density,8
carbon emissions,8
circular economy,8
South Africa,8
,8
Kenya,8
,
,
cycling,7
urban forests,7
informal settlements,7
,
,
,
economic growth,7
,
climate adaptation,7
,
urban energy systems,7
smart energy systems,7
OECD,7
,
United States of America,6
global emissions,6
,
,
,6
mixed land use,6
carbon sequestration,6
,
committed emissions,6
rural areas,6
C40 Cities,6
,
,
emissions,6
,
,6
cooling networks,6
food security,6
,
,
decarbonisation,6
Greenhouse gas emissions,6
SSP5,6
,
Urban Transitions,6
,6
,
,
Green roofs,6
Land use policy,6
European cities,6
UNEP,6
United Nations,6
Australia,5
,
forestry,5
,
heat stress,5
,
,
,
Ecosystem Services,5
urban mitigation strategies,5
Malaysia,5
,
carbon neutrality,5
,
,
,
Indonesia,5
,
Settlements,5
,5
urban land areas,5
urban share,5
SSP3,5
,5
mitigation benefits,5
recycling,5
ICLEI,5
Sustainable Development Goals,5
Springer International Publishing,5
Urban Climate Action,5
,
World Resources Institute,5
,
,5
,
,
Developing Countries,4
,
,4
national emissions,4
,
carbon footprint,4
forests,4
carbon stocks,4
,
regional governments,4
,
,4
,
emerging economies,4
urban energy,4
energy poverty,4
,4
green infrastructure,4
urban ecosystems,4
,4
inclusivity,4
wastewater recycling,4
urban poor,4
urban governance,4
facades,4
urban inhabitants,4
,
,
,
climate finance,4
big data,4
,
urban population densities,4
urban densities,4
residential buildings,4
,
SSPs,4
SSP1,4
emissions savings,4
,
IMPs,4
,
,
,4
SDG linkages,4
,
,
CPI,4
Ghana,4
,4
Blockchain,4
PLoS One,4
Sixth Assessment Report,3
,3
Urban Carbon Footprint,3
,
,
resource efficiency,3
,3
population size,3
,
carbon lock-in,3
energy consumption,3
sequestration,3
social equity,3
economic decoupling,3
systemic transformation,3
material use,3
energy demand,3
,
sanitation,3
spatial units,3
Sustainable Cities,3
Urban Agenda,3
,
,3
density,3
global population,3
UN DESA 2019,3
Japan,3
urban informal economy,3
urban agriculture,3
urban economy,3
developing country cities,3
,
GHG emission reductions,3
GHGs,3
city boundaries,3
supply chain emissions,3
District heating,3
UK,3
Waste management,3
air conditioning,3
stormwater management,3
flooding,3
urban level,3
adaptive capacity,3
urban design,3
zoning,3
