keyword,count
Africa,605
climate change,383
South Africa,169
global warming,92
Kenya,90
Tanzania,69
adaptation,67
west Africa,65
southern Africa,65
African countries,61
Ghana,60
drought,54
Nigeria,49
Ethiopia,45
climate change adaptation,45
Zimbabwe,44
food security,42
east Africa,40
climate variability,40
IPCC,40
Uganda,39
north Africa,38
World Bank,38
Mozambique,38
women,35
biodiversity,35
Malawi,33
medium confidence,31
precipitation,31
agriculture,29
central Africa,28
African cities,28
Burkina Faso,28
climate hazards,27
rainfall,27
Zambia,26
children,25
Regional Environmental Change,25
poverty,25
Global Change Biology,23
sea level rise,22
population growth,22
National Academy of Sciences,22
informal settlements,21
adaptive capacity,21
smallholder farmers,21
climate services,21
migration,20
Egypt,20
resilience,19
heat stress,19
Cambridge University Press,19
urbanisation,19
ecosystem services,18
floods,18
vulnerability,18
developing countries,18
Climate Risk Management,18
mortality,18
adaptation options,17
Rwanda,17
UNEP,17
Hydrology,17
Namibia,16
Springer International Publishing,16
PLoS One,16
SLR,16
sustainable development,16
malaria,16
climate risk,16
climate resilience,16
ecosystems,16
Sahel,15
Cape Town,14
World Bank Group,14
flooding,14
gender,14
tourism,14
climate change impacts,14
health,14
water scarcity,14
Global Environmental Change,13
Botswana,13
farmers,13
climate shocks,13
water resources,13
maize,13
Senegal,13
Sudan,13
inland fisheries,13
climate change literacy,13
urban areas,13
human health,13
temperature,12
UNESCO,12
irrigation,12
climate information,12
droughts,12
climate,12
infrastructure,12
human settlements,12
climate adaptation,12
Mali,11
United Nations,11
adaptation strategies,11
food insecurity,11
indigenous knowledge,11
extreme weather events,11
climate impacts,11
land degradation,11
SDGs,11
African,11
high confidence,11
water stress,11
tropical cyclones,11
Africans,11
Intergovernmental Panel on Climate Change,11
GCF,10
Angola,10
Working Group I,10
heatwaves,10
Somalia,10
deforestation,10
public health,10
livestock,10
climate finance,10
food systems,10
wheat,10
global warming levels,10
education,10
early warning systems,10
Madagascar,10
economic growth,10
drought frequency,10
water security,10
climate risks,10
hydropower,9
Earth System Sciences,9
precipitation variability,9
rice,9
marine fisheries,9
Natural Hazards,9
Climate Change 2021,9
United Kingdom,9
social protection,9
savannas,9
uncertainty,9
investment,9
pastoralists,9
governance,9
Sixth Assessment Report,9
marine heatwaves,9
desertification,9
IKLK,9
conflict,9
African Development Bank,9
OECD,9
South African Journal of Science,8
Global Food Security,8
malaria transmission,8
UNDP,8
rural areas,8
Lake Tanganyika,8
Congo Basin,8
Morocco,8
vulnerable groups,8
Management,8
Green Climate Fund,8
land use change,8
aridity,8
global,8
morbidity,8
afforestation,8
mitigation,8
Working Group II,8
sanitation,8
Tunisia,7
groundwater,7
protected areas,7
nutrition,7
air pollution,7
CMIP6,7
girls,7
Indigenous knowledge systems,7
climate scenarios,7
continent,7
Social Determinants of Health,7
mental health,7
Arid Environments,7
Environmental Sustainability,7
World Health Organization,7
water,7
HIV,7
adaptation planning,7
rainwater harvesting,7
rural households,7
food production,7
educational attainment,7
GDP,7
precipitation changes,7
rainfall variability,7
grasslands,7
disaster risk reduction,7
livestock production,7
conservation agriculture,7
AR5,7
Paris Agreement,7
projected risks,7
adaptation measures,7
fisheries,7
health sector,7
land use,7
EbA,6
displacement,6
uncertainties,6
water availability,6
South Sudan,6
Cameroon,6
insects,6
Africa Adaptation Initiative,6
food crops,6
employment,6
Agricultural Systems,6
landslides,6
Cyclone Idai,6
precipitation extremes,6
Middle East,6
WHO,6
environmental research,6
Oxford University Press,6
bitstream,6
Climate Information Services,6
Fifth Assessment Report,6
Aquaculture,6
local communities,6
Asia,6
Niger,6
UNFCCC,6
modelling,6
planning,6
mangroves,6
Kilimanjaro,6
productivity,6
agricultural production,6
low confidence,6
local extinction,6
flood risk,6
livelihood diversification,6
agroforestry,6
GHG emissions,6
infectious diseases,6
insurance,6
food sector,6
cultural heritage,6
climate governance,6
CRD,6
climate change mitigation,6
African river basins,6
crops,6
cholera,6
freshwater ecosystems,6
heat exposure,6
Libya,5
urban heat island effect,5
internal migrants,5
internal migration,5
climate extremes,5
rural Ethiopia,5
meningitis,5
high temperatures,5
vulnerabilities,5
China,5
natural disasters,5
socioeconomic status,5
