keyword,count
energy consumption,20
current density,19
membraneless EMAR,19
electrodeposited GDEs,17
membraneless EMAR system,15
copper loading,15
CapEx,14
carbon capture,13
GDL 240,13
LCOCC,12
electrolyte,10
GDS 230,10
anode,9
cathode,9
GDEs,9
copper,9
levelized cost,9
Toray 060,9
copper loadings,9
absorption column,8
flash tank,8
EMAR,8
removal efficiency,8
EMAR process,7
copper layer,6
removal efficiencies,6
OpEx,6
flue gas,5
membraneless system,5
CO 2 removal efficiency,5
microgap,5
performance metrics,5
cell lifetime,5
GDE cost,5
EMAR systems,4
gas diffusion electrodes,4
pumps,4
GDE configurations,4
Electrodeposited GDEs,4
electrochemical systems,4
amine,4
conventional EMAR,4
cost target analysis,4
Creative Commons licence,3
Electrochemical carbon capture,3
electrochemically mediated amine regeneration,3
cost,3
University of Houston,3
membraneless EMAR systems,3
AEM,3
EMAR configuration,3
desorption efficiency,3
GDE,3
membraneless configuration,3
GDE assemblies,3
low energy consumption,3
TEA,3
mesh sizes,3
SEM images,3
GDE electrodes,3
Economics,3
electricity,3
sensitivity analysis,3
capture capacity,3
GDE costs,3
simulated flue gas,3
Fuel Cell Store,3
process footprint,2
flow diagram,2
CO 2 removal efficiencies,2
NSF CAREER,2
High Priority Area Research Seed Grant,2
Texas Hazardous Waste Research Center,2
redox reactions,2
electrochemical cell,2
anion exchange membrane,2
microporous layer,2
durability,2
electrochemical unit,2
CO 2,2
CO 2 absorption,2
high current density,2
carbon capture process,2
mesh size,2
error bars,2
standard deviation,2
independent experiments,2
microscale gap,2
anode interface,2
CO 2 collection,2
Faradaic efficiency,2
carbon paper,2
SEM,2
carbon substrates,2
Electrodeposited GDE performance,2
efficiency,2
MPL,2
barrier effect,2
Toray,2
60,2
